08/02/1993,Time,14:16,Type,Tupolev Tu-154M,Owner/operator,Iran Airtour,Registration,EP-ITD,MSN,91A903,Year of manufacture,1991,Engine model,Soloviev D-30KU-154-II,Fatalities,Fatalities: 131 / Occupants: 131,Other fatalities,2,Aircraft damage,Destroyed, written off,Category,Accident,Location,15 km from Tehran-Mehrabad Airport (THR) -  ,"	   Iran",Phase,En route,Nature,Passenger - Non-Scheduled/charter/Air Taxi,Departure airport,Tehran-Mehrabad Airport (THR/OIII),Destination airport,Mashhad Airport (MHD/OIMM),Confidence Rating,Information verified through data from accident investigation authorities,,,,,,,,,,
13/03/1997,Time,18:00,Type,Lockheed C-130 Hercules,Owner/operator,Islamic Republic of Iran Air Force - IRIAF,Registration,,MSN,,Fatalities,Fatalities: 86 / Occupants: 86,Other fatalities,0,Aircraft damage,Destroyed, written off,Category,Accident,Location,24 km from Mashhad -  ,"	   Iran",Phase,En route,Nature,Military,Departure airport,Dezful Airport (OIAD),Destination airport,Mashhad Airport (MHD/OIMM),,,,,,,,,,,,,,,,
18/03/1997,Time,10:03,Type,Antonov An-24RV,Owner/operator,Stavropolskaya Aktsionernaya Avia,Registration,RA-46516,MSN,37308502,Year of manufacture,1973,Total airframe hrs,41181 hours,Cycles,27628 flights,Engine model,Ivchenko AI-24VT,Fatalities,Fatalities: 50 / Occupants: 50,Other fatalities,0,Aircraft damage,Destroyed, written off,Category,Accident,Location,1 km E of Cherkessk -  ,"	   Russia",Phase,En route,Nature,Passenger - Non-Scheduled/charter/Air Taxi,Departure airport,Stavropol Airport (STW/URMT),Destination airport,Trabzon Airport (TZX/LTCG),Confidence Rating,Accident investigation report completed and information captured,,,,,,
06/08/1997,Time,1:42,Type,Boeing 747-3B5,Owner/operator,Korean Air,Registration,HL7468,MSN,22487/605,Year of manufacture,1984,Total airframe hrs,50105 hours,Cycles,8552 flights,Engine model,P&W JT9D-7R4G2,Fatalities,Fatalities: 228 / Occupants: 254,Other fatalities,0,Aircraft damage,Destroyed, written off,Category,Accident,Location,4,8 km SW of Guam-Agana International Airport (GUM) -  ,"	   Guam",Phase,Approach,Nature,Passenger - Scheduled,Departure airport,Seoul-Gimpo (Kimpo) International Airport (SEL/RKSS),Destination airport,Guam-A.B. Won Pat International Airport (GUM/PGUM),Investigating agency,NTSB,Confidence Rating,Accident investigation report completed and information captured,,,
03/09/1997,Time,14:00,Type,Tupolev Tu-134B-3,Owner/operator,Vietnam Airlines,Registration,VN-A120,MSN,66360,Year of manufacture,1984,Total airframe hrs,11723 hours,Cycles,8209 flights,Engine model,Soloviev D-30-III,Fatalities,Fatalities: 65 / Occupants: 66,Other fatalities,0,Aircraft damage,Destroyed, written off,Category,Accident,Location,Phnom Penh-Pochentong Airport (PNH) -  ,"	   Cambodia",Phase,Approach,Nature,Passenger - Scheduled,Departure airport,Ho Chi Minh City-Tan Son Nhat International Airport (SGN/VVTS),Destination airport,Phnom Penh-Pochentong Airport (PNH/VDPP),Confidence Rating,Information verified through data from accident investigation authorities,,,,,,
26/09/1997,Time,13:34,Type,Airbus A300B4-220,Owner/operator,Garuda Indonesia Airways,Registration,PK-GAI,MSN,214,Year of manufacture,1982,Total airframe hrs,27095 hours,Cycles,16593 flights,Engine model,Pratt & Whitney JT9D-59A,Fatalities,Fatalities: 234 / Occupants: 234,Other fatalities,0,Aircraft damage,Destroyed, written off,Category,Accident,Location,25 km SSW of Medan-Polonia Airport (MES) -  ,"	   Indonesia",Phase,Approach,Nature,Passenger - Scheduled,Departure airport,Jakarta-Soekarno-Hatta International Airport (CGK/WIII),Destination airport,Medan-Polonia Airport (MES/WIMM),Investigating agency,NTSC,Confidence Rating,Accident investigation report completed and information captured,,,,
10/10/1997,Time,22:10,Type,McDonnell Douglas DC-9-32,Owner/operator,Austral Lineas Aéreas,Registration,LV-WEG,MSN,47446/561,Year of manufacture,1969,Total airframe hrs,56854 hours,Cycles,54800 flights,Engine model,P&W JT8D-7B,Fatalities,Fatalities: 74 / Occupants: 74,Other fatalities,0,Aircraft damage,Destroyed, written off,Category,Accident,Location,21 km E of Nuevo Berlin -  ,"	   Uruguay",Phase,En route,Nature,Passenger - Scheduled,Departure airport,Posadas Airport, MI (PSS/SARP),Destination airport,Buenos Aires-Jorge Newbery Airport, BA (AEP/SABE),Investigating agency,DINACIA Uruguay,Confidence Rating,Accident investigation report completed and information captured,,
06/12/1997,Time,14:42,Type,Antonov An-124-100,Owner/operator,Russian Air Force,Registration,08 Black,MSN,4516003,Year of manufacture,1986,Total airframe hrs,1034 hours,Cycles,576 flights,Engine model,Lotarev D-18T,Fatalities,Fatalities: 23 / Occupants: 23,Other fatalities,45,Aircraft damage,Destroyed, written off,Category,Accident,Location,1,6 km SE of Irkutsk-2 Airport -  ,"	   Russia",Phase,Initial climb,Nature,Military,Departure airport,Irkutsk-2 Airport (UIIR),Destination airport,Vladivostok Airport (VVO/UHWW),Confidence Rating,Information is only available from news, social media or unofficial sources,,,,
15/12/1997,Time,18:35,Type,Tupolev Tu-154B-1,Owner/operator,Tajikistan Airlines,Registration,EY-85281,MSN,78A281,Year of manufacture,1978,Engine model,Kuznetsov NK-8-2U,Fatalities,Fatalities: 85 / Occupants: 86,Other fatalities,0,Aircraft damage,Destroyed, written off,Category,Accident,Location,13 km E of Sharjah Airport (SHJ) -  ,"	   United Arab Emirates",Phase,Approach,Nature,Passenger - Non-Scheduled/charter/Air Taxi,Departure airport,Dushanbe Airport (DYU/UTDD),Destination airport,Sharjah Airport (SHJ/OMSJ),Confidence Rating,Accident investigation report completed and information captured,,,,,,,,,,
17/12/1997,Time,21:12,Type,Yakovlev Yak-42,Owner/operator,AeroSvit Airlines, lsf Lvovskie avialinii,Registration,UR-42334,MSN,4.52042E+12,Year of manufacture,1986,Total airframe hrs,12008 hours,Cycles,6836 flights,Engine model,Lotarev D-36,Fatalities,Fatalities: 70 / Occupants: 70,Other fatalities,0,Aircraft damage,Destroyed, written off,Category,Accident,Location,72 km SW of Thessaloniki -  ,"	   Greece",Phase,En route,Nature,Passenger - Scheduled,Departure airport,Odessa-Central Airport (ODS/UKOO),Destination airport,Thessaloniki International Airport (SKG/LGTS),Investigating agency,AAIC Greece,Confidence Rating,Accident investigation report completed and information captured,,,
19/12/1997,Time,16:13,Type,Boeing 737-36N,Owner/operator,Silkair,Registration,9V-TRF,MSN,28556/2851,Year of manufacture,1997,Total airframe hrs,2238 hours,Cycles,1306 flights,Engine model,CFMI CFM56-3B2,Fatalities,Fatalities: 104 / Occupants: 104,Other fatalities,0,Aircraft damage,Destroyed, written off,Location,56 km N of Palembang -  ,"	   Indonesia",Phase,En route,Nature,Passenger - Scheduled,Departure airport,Jakarta-Soekarno-Hatta International Airport (CGK/WIII),Destination airport,Singapore-Changi International Airport (SIN/WSSS),Investigating agency,NTSC,Confidence Rating,Accident investigation report completed and information captured,,,,,,
13/01/1998,Time,22:00,Type,Antonov An-32,Owner/operator,Islamic Emirate of Afghanistan Air Force - IEAAF,Registration,,MSN,,Engine model,Ivchenko AI-20,Fatalities,Fatalities: 51 / Occupants: 51,Other fatalities,0,Aircraft damage,Destroyed, written off,Category,Accident,Location,Khojak Pass -  ,"	   Pakistan",Phase,Approach,Nature,Military,Departure airport,Kandahar Airport (KDH/OAKN),Destination airport,Herat Airport (HEA/OAHR),,,,,,,,,,,,,,
02/02/1998,Time,11:00,Type,McDonnell Douglas DC-9-32,Owner/operator,Cebu Pacific Air,Registration,RP-C1507,MSN,47069/175,Year of manufacture,1967,Total airframe hrs,73784 hours,Engine model,P&W JT8D-7A,Fatalities,Fatalities: 104 / Occupants: 104,Other fatalities,0,Aircraft damage,Destroyed, written off,Category,Accident,Location,45 km NE of Cagayan de Oro-Lumbia Airport (CGY) -  ,"	   Philippines",Phase,En route,Nature,Passenger - Scheduled,Departure airport,Tacloban-D. Z. Romualdez Airport (TAC/RPVA),Destination airport,Cagayan de Oro-Lumbia Airport (CGY/RPML),Confidence Rating,Information is only available from news, social media or unofficial sources,,,,,,,
16/02/1998,Time,20:05,Type,Airbus A300B4-622R,Owner/operator,China Airlines,Registration,B-1814,MSN,578,Year of manufacture,1990,Total airframe hrs,20193 hours,Cycles,8800 flights,Engine model,Pratt & Whitney PW4158,Fatalities,Fatalities: 196 / Occupants: 196,Other fatalities,7,Aircraft damage,Destroyed, written off,Category,Accident,Location,Taipei-Chiang Kai Shek International Airport (TPE) -  ,"	   Taiwan",Phase,Approach,Nature,Passenger - Scheduled,Departure airport,Denpasar-Ngurah Rai Bali International Airport (DPS/WADD),Destination airport,Taipei-Chiang Kai Shek International Airport (TPE/RCTP),Confidence Rating,Accident investigation report completed and information captured,,,,,,
20/04/1998,Time,16:45,Type,Boeing 727-230,Owner/operator,TAME Ecuador, opf Air France,Registration,HC-BSU,MSN,21622/1431,Year of manufacture,1979,Total airframe hrs,34586 hours,Cycles,26475 flights,Engine model,Pratt & Whitney JT8D-15,Fatalities,Fatalities: 53 / Occupants: 53,Other fatalities,0,Aircraft damage,Destroyed, written off,Category,Accident,Location,10 km SW of Bogotá-Eldorado Airport (BOG) -  ,"	   Colombia",Phase,En route,Nature,Passenger - Scheduled,Departure airport,Bogotá-Eldorado Airport (BOG/SKBO),Destination airport,Quito-Mariscal Sucre Airport (UIO/SEQU),Investigating agency,Aerocivil,Confidence Rating,Accident investigation report completed and information captured,,,
05/05/1998,Time,21:30,Type,Boeing 737-282 Advanced,Owner/operator,Occidental Petroleum, lsf Fuerza Aérea del Peru - FAP,Registration,FAP-351,MSN,23041/962,Year of manufacture,1983,Total airframe hrs,37129 hours,Cycles,23935 flights,Engine model,Pratt & Whitney JT8D-17A,Fatalities,Fatalities: 75 / Occupants: 88,Other fatalities,0,Aircraft damage,Destroyed, written off,Category,Accident,Location,3 km from Andoas -  ,"	   Peru",Phase,Approach,Nature,Passenger - Non-Scheduled/charter/Air Taxi,Departure airport,Iquitos-Coronel FAP Francisco Secada Vignetta International Airport (IQT/SPQT),Destination airport,Andoas-Alferez FAP Alfredo Vladimir Sara Bauer Airport (AOP/SPAS),Confidence Rating,Information verified through data from accident investigation authorities,,,,,
29/08/1998,Time,13:03,Type,Tupolev Tu-154M,Owner/operator,Cubana de Aviación,Registration,CU-T1264,MSN,85A720,Year of manufacture,1985,Total airframe hrs,9256 hours,Engine model,Soloviev D-30KU-154-II,Fatalities,Fatalities: 70 / Occupants: 91,Other fatalities,10,Aircraft damage,Destroyed, written off,Category,Accident,Location,Quito-Mariscal Sucre Airport (UIO) -  ,"	   Ecuador",Phase,Take off,Nature,Passenger - Scheduled,Departure airport,Quito-Mariscal Sucre Airport (UIO/SEQU),Destination airport,Guayaquil-Simon Bolivar Airport (GYE/SEGU),Confidence Rating,Accident investigation report completed and information captured,,,,,,,,
02/09/1998,Time,21:31,Type,McDonnell Douglas MD-11,Owner/operator,Swissair,Registration,HB-IWF,MSN,48448/465,Year of manufacture,1991,Total airframe hrs,36041 hours,Cycles,6400 flights,Engine model,P&W PW4462,Fatalities,Fatalities: 229 / Occupants: 229,Other fatalities,0,Aircraft damage,Destroyed, written off,Category,Accident,Location,9 km SW off Peggy's Cove, NS -  ,"	   Canada",Phase,En route,Nature,Passenger - Scheduled,Departure airport,New York-John F. Kennedy International Airport, NY (JFK/KJFK),Destination airport,Genève-Cointrin Airport (GVA/LSGG),Investigating agency,TSB,Confidence Rating,Accident investigation report completed and information captured,,
29/09/1998,Time,13:54,Type,Antonov An-24RV,Owner/operator,Lionair, lsf Gomelavia,Registration,EW-46465,MSN,27307901,Year of manufacture,1972,Total airframe hrs,42442 hours,Engine model,Ivchenko AI-24VT,Fatalities,Fatalities: 55 / Occupants: 55,Other fatalities,0,Aircraft damage,Destroyed, written off,Category,Unlawful Interference,Location,off Iranativu, Gulf of Mannar -  ,"	   Sri Lanka",Phase,En route,Nature,Passenger - Scheduled,Departure airport,Jaffna-Palaly Airport (JAF/VCCJ),Destination airport,Colombo-Ratmalana Airport (RML/VCCC),Investigating agency,CAASL,Confidence Rating,Information verified through data from accident investigation authorities,,,,
11/12/1998,Time,19:08,Type,Airbus A310-204,Owner/operator,Thai Airways International,Registration,HS-TIA,MSN,415,Year of manufacture,1986,Total airframe hrs,23028 hours,Cycles,22031 flights,Engine model,GE CF6-80C2A2,Fatalities,Fatalities: 101 / Occupants: 146,Other fatalities,0,Aircraft damage,Destroyed, written off,Category,Accident,Location,0,7 km S of Surat Thani Airport (URT) -  ,"	   Thailand",Phase,Approach,Nature,Passenger - Scheduled,Departure airport,Bangkok-Don Muang International Airport (BKK/VTBD),Destination airport,Surat Thani Airport (URT/VTSB),Confidence Rating,Accident investigation report completed and information captured,,,,,
24/02/1999,Time,16:34,Type,Tupolev Tu-154M,Owner/operator,China Southwest Airlines,Registration,B-2622,MSN,90A846,Year of manufacture,1990,Total airframe hrs,14135 hours,Cycles,7748 flights,Engine model,Soloviev D-30KU-154-II,Fatalities,Fatalities: 61 / Occupants: 61,Other fatalities,0,Aircraft damage,Destroyed, written off,Category,Accident,Location,Rui'an -  ,"	   China",Phase,Approach,Nature,Passenger - Scheduled,Departure airport,Chengdu Airport (CTU/ZUUU),Destination airport,Wenzhou Yongqiang Airport (WNZ/ZSWZ),Confidence Rating,Accident investigation report completed and information captured,,,,,,
03/06/1999,Time,,Type,Antonov An-32,Owner/operator,Al Quwwat al-Jawwiya As-Sudaniya (Sudanese Air Force),Registration,,MSN,,Engine model,Ivchenko AI-20,Fatalities,Fatalities: 50 / Occupants: 50,Other fatalities,0,Aircraft damage,Destroyed, written off,Category,Accident,Location,80 km E of Khartoum -  ,"	   Sudan",Phase,En route,Nature,Military,Departure airport,Kassala Airport (KSL/HSKA),Destination airport,Khartoum-Civil Airport (KRT/HSSS),,,,,,,,,,,,,,
31/08/1999,Time,20:54,Type,Boeing 737-204C,Owner/operator,LAPA - Líneas Aéreas Privadas Argentinas,Registration,LV-WRZ,MSN,20389/251,Year of manufacture,1970,Total airframe hrs,67864 hours,Cycles,41851 flights,Engine model,P&W JT8D-9A,Fatalities,Fatalities: 63 / Occupants: 100,Other fatalities,2,Aircraft damage,Destroyed, written off,Category,Accident,Location,Buenos Aires-Jorge Newbery Airport, BA (AEP) -  ,"	   Argentina",Phase,Take off,Nature,Passenger - Scheduled,Departure airport,Buenos Aires-Jorge Newbery Airport, BA (AEP/SABE),Destination airport,Córdoba-Ingeniero Ambrosio L.V. Taravella International Airport, CD (COR/SACO),Investigating agency,JIAAC,Confidence Rating,Accident investigation report completed and information captured,
31/10/1999,Time,1:52,Type,Boeing 767-366ER,Owner/operator,EgyptAir,Registration,SU-GAP,MSN,24542/282,Year of manufacture,1989,Total airframe hrs,33219 hours,Cycles,7556 flights,Engine model,P&W PW4060,Fatalities,Fatalities: 217 / Occupants: 217,Other fatalities,0,Aircraft damage,Destroyed, written off,Location,100 km S off Nantucket Island, MA, USA -  ,"	   Atlantic Ocean",Phase,En route,Nature,Passenger - Scheduled,Departure airport,New York-John F. Kennedy International Airport, NY (JFK/KJFK),Destination airport,Cairo International Airport (CAI/HECA),Investigating agency,NTSB,Confidence Rating,Accident investigation report completed and information captured,,,
30/01/2000,Time,21:09,Type,Airbus A310-304,Owner/operator,Kenya Airways,Registration,5Y-BEN,MSN,426,Year of manufacture,1986,Total airframe hrs,58115 hours,Cycles,15026 flights,Engine model,GE CF6-80C2A2,Fatalities,Fatalities: 169 / Occupants: 179,Other fatalities,0,Aircraft damage,Destroyed, written off,Category,Accident,Location,2,8 km S off Abidjan-Felix Houphouet Boigny Airport (ABJ) -  ,"	   Cote d'Ivoire",Phase,Initial climb,Nature,Passenger - Scheduled,Departure airport,Abidjan-Felix Houphouet Boigny Airport (ABJ/DIAP),Destination airport,Lagos-Murtala Muhammed International Airport (LOS/DNMM),Investigating agency,CoI Ivory Coast,Confidence Rating,Accident investigation report completed and information captured,,,
31/01/2000,Time,16:20,Type,McDonnell Douglas DC-9-83 (MD-83),Owner/operator,Alaska Airlines,Registration,N963AS,MSN,53077/1995,Year of manufacture,1992,Total airframe hrs,26584 hours,Cycles,14315 flights,Engine model,P&W JT8D-219,Fatalities,Fatalities: 88 / Occupants: 88,Other fatalities,0,Aircraft damage,Destroyed, written off,Category,Accident,Location,4,5 km N off Anacapa Island, CA -  ,"	   United States of America",Phase,En route,Nature,Passenger - Scheduled,Departure airport,Puerto Vallarta-Gustavo D. Ordaz Airport (PVR/MMPR),Destination airport,San Francisco International Airport, CA (SFO/KSFO),Investigating agency,NTSB,Confidence Rating,Accident investigation report completed and information captured,
19/04/2000,Time,7:00,Type,Boeing 737-2H4,Owner/operator,Air Philippines,Registration,RP-C3010,MSN,21447/508,Year of manufacture,1978,Total airframe hrs,68475 hours,Cycles,79522 flights,Engine model,P&W JT8D-9A,Fatalities,Fatalities: 131 / Occupants: 131,Other fatalities,0,Aircraft damage,Destroyed, written off,Category,Accident,Location,8 km NE of Davao City-Francisco Bangoy International Airport (DVO) -  ,"	   Philippines",Phase,Approach,Nature,Passenger - Scheduled,Departure airport,Manila-Ninoy Aquino International Airport (MNL/RPLL),Destination airport,Davao City-Francisco Bangoy International Airport (DVO/RPMD),Confidence Rating,Information is only available from news, social media or unofficial sources,,,,,
17/07/2000,Time,7:34,Type,Boeing 737-2A8 Advanced,Owner/operator,Alliance Air,Registration,VT-EGD,MSN,22280/671,Year of manufacture,1980,Total airframe hrs,44087 hours,Cycles,51278 flights,Engine model,P&W JT8D-17A,Fatalities,Fatalities: 55 / Occupants: 58,Other fatalities,5,Aircraft damage,Destroyed, written off,Category,Accident,Location,2 km SW of Patna Airport (PAT) -  ,"	   India",Phase,Approach,Nature,Passenger - Scheduled,Departure airport,Calcutta-Netaji Subhas Chandra Airport (CCU/VECC),Destination airport,Patna Airport (PAT/VEPT),Investigating agency,MoCA India,Confidence Rating,Accident investigation report completed and information captured,,,,
25/07/2000,Time,16:44,Type,Aérospatiale / BAC Concorde 101,Owner/operator,Air France,Registration,F-BTSC,MSN,203,Year of manufacture,1975,Total airframe hrs,11989 hours,Cycles,4873 flights,Engine model,Rolls-Royce Olympus 593/610,Fatalities,Fatalities: 109 / Occupants: 109,Other fatalities,4,Aircraft damage,Destroyed, written off,Category,Accident,Location,Gonesse -  ,"	   France",Phase,Initial climb,Nature,Passenger - Non-Scheduled/charter/Air Taxi,Departure airport,Paris-Charles de Gaulle Airport (CDG/LFPG),Destination airport,New York-John F. Kennedy International Airport, NY (JFK/KJFK),Investigating agency,BEA,Confidence Rating,Accident investigation report completed and information captured,,,
23/08/2000,Time,19:30,Type,Airbus A320-212,Owner/operator,Gulf Air,Registration,A4O-EK,MSN,481,Year of manufacture,1994,Total airframe hrs,17370 hours,Cycles,13990 flights,Engine model,CFMI CFM56-5A3,Fatalities,Fatalities: 143 / Occupants: 143,Other fatalities,0,Aircraft damage,Destroyed, written off,Category,Accident,Location,2 km N off Bahrain International Airport (BAH) -  ,"	   Bahrain",Phase,Approach,Nature,Passenger - Scheduled,Departure airport,Cairo International Airport (CAI/HECA),Destination airport,Bahrain International Airport (BAH/OBBI),Investigating agency,MoT Bahrain,Confidence Rating,Accident investigation report completed and information captured,,,,
25/10/2000,Time,18:15,Type,Ilyushin Il-18D,Owner/operator,Russian Air Force,Registration,RA-74295,MSN,187010602,Year of manufacture,1968,Total airframe hrs,15256 hours,Cycles,7694 flights,Engine model,Ivchenko AI-20M,Fatalities,Fatalities: 84 / Occupants: 84,Other fatalities,0,Aircraft damage,Destroyed, written off,Category,Accident,Location,18 km E of Batumi-Chorokh Airport (BUS) -  ,"	   Georgia",Phase,Approach,Nature,Military,Departure airport,Chkalovsky Airport (CKL/UUMU),Destination airport,Batumi-Chorokh Airport (BUS/UGSB),Confidence Rating,Information is only available from news, social media or unofficial sources,,,,,
31/10/2000,Time,23:18,Type,Boeing 747-412,Owner/operator,Singapore Airlines,Registration,9V-SPK,MSN,28023/1099,Year of manufacture,1997,Total airframe hrs,18459 hours,Cycles,2274 flights,Engine model,P&W PW4056,Fatalities,Fatalities: 83 / Occupants: 179,Other fatalities,0,Aircraft damage,Destroyed, written off,Category,Accident,Location,Taipei-Chiang Kai Shek Airport (TPE) -  ,"	   Taiwan",Phase,Take off,Nature,Passenger - Scheduled,Departure airport,Taipei-Chiang Kai Shek International Airport (TPE/RCTP),Destination airport,Los Angeles International Airport, CA (LAX/KLAX),Investigating agency,ASC,Confidence Rating,Accident investigation report completed and information captured,,,
15/11/2000,Time,13:03,Type,Antonov An-24RV,Owner/operator,ASA Pesada,Registration,D2-FCG,MSN,27308104,Year of manufacture,1972,Engine model,Ivchenko AI-24,Fatalities,Fatalities: 57 / Occupants: 57,Other fatalities,0,Aircraft damage,Destroyed, written off,Category,Accident,Location,5 km E of Luanda-4 de Fevereiro Airport (LAD) -  ,"	   Angola",Phase,En route,Nature,Passenger - Non-Scheduled/charter/Air Taxi,Departure airport,Luanda-4 de Fevereiro Airport (LAD/FNLU),Destination airport,Namibe Airport (MSZ/FNMO),Confidence Rating,Information is only available from news, social media or unofficial sources,,,,,,,,,
04/07/2001,Time,2:08,Type,Tupolev Tu-154M,Owner/operator,Vladivostokavia,Registration,RA-85845,MSN,86A735,Year of manufacture,1986,Total airframe hrs,20953 hours,Cycles,11387 flights,Engine model,Soloviev D-30KU-154-II,Fatalities,Fatalities: 145 / Occupants: 145,Other fatalities,0,Aircraft damage,Destroyed, written off,Category,Accident,Location,near Burdakovka -  ,"	   Russia",Phase,Approach,Nature,Passenger - Scheduled,Departure airport,Ekaterinburg-Koltsovo Airport (SVX/USSS),Destination airport,Irkutsk Airport (IKT/UIII),Confidence Rating,Accident investigation report completed and information captured,,,,,,
11/09/2001,Time,9:40,Type,Boeing 757-223,Owner/operator,American Airlines,Registration,N644AA,MSN,24602/365,Year of manufacture,1991,Total airframe hrs,33432 hours,Cycles,11789 flights,Engine model,Rolls-Royce RB211-535E4B,Fatalities,Fatalities: 64 / Occupants: 64,Other fatalities,125,Aircraft damage,Destroyed, written off,Category,Unlawful Interference,Location,Washington, DC -  ,"	   United States of America",Phase,En route,Nature,Passenger - Scheduled,Departure airport,Washington-Dulles International Airport, DC (IAD/KIAD),Destination airport,Los Angeles International Airport, CA (LAX/KLAX),Investigating agency,NTSB,Confidence Rating,,
11/09/2001,Time,9:03,Type,Boeing 767-222,Owner/operator,United Airlines,Registration,N612UA,MSN,21873/41,Year of manufacture,1983,Total airframe hrs,66647 hours,Cycles,17569 flights,Engine model,Pratt & Whitney JT9D-7R4D,Fatalities,Fatalities: 65 / Occupants: 65,Other fatalities,900,Aircraft damage,Destroyed, written off,Category,Unlawful Interference,Location,New York, NY -  ,"	   United States of America",Phase,En route,Nature,Passenger - Scheduled,Departure airport,Boston-Logan International Airport, MA (BOS/KBOS),Destination airport,Los Angeles International Airport, CA (LAX/KLAX),Investigating agency,NTSB,Confidence Rating,,
11/09/2001,Time,8:46,Type,Boeing 767-223ER,Owner/operator,American Airlines,Registration,N334AA,MSN,22332/169,Year of manufacture,1987,Total airframe hrs,58350 hours,Cycles,11789 flights,Engine model,General Electric CF6-80A2,Fatalities,Fatalities: 92 / Occupants: 92,Other fatalities,1600,Aircraft damage,Destroyed, written off,Category,Unlawful Interference,Location,New York, NY -  ,"	   United States of America",Phase,En route,Nature,Passenger - Scheduled,Departure airport,Boston-Logan International Airport, MA (BOS/KBOS),Destination airport,Los Angeles International Airport, CA (LAX/KLAX),Investigating agency,NTSB,Confidence Rating,,
04/10/2001,Time,13:45,Type,Tupolev Tu-154M,Owner/operator,Sibir Airlines,Registration,RA-85693,MSN,90A866,Year of manufacture,1990,Total airframe hrs,16705 hours,Cycles,7281 flights,Engine model,Soloviev D-30KU-154-II,Fatalities,Fatalities: 78 / Occupants: 78,Other fatalities,0,Aircraft damage,Destroyed, written off,Category,Accident,Location,184 km off Adler, Russia [Black Sea] -  ,"	   Atlantic Ocean",Phase,En route,Nature,Passenger - Non-Scheduled/charter/Air Taxi,Departure airport,Tel Aviv-Ben Gurion International Airport (TLV/LLBG),Destination airport,Novosibirsk-Tolmachevo Airport (OVB/UNNN),Investigating agency,MAK,Confidence Rating,Accident investigation report completed and information captured,,,
08/10/2001,Time,8:10,Type,Cessna 525A CitationJet CJ2,Owner/operator,H. Enschmann,Registration,D-IEVX,MSN,525A-0036,Year of manufacture,2001,Total airframe hrs,28 hours,Cycles,20 flights,Engine model,Williams International FJ44-2C,Fatalities,Fatalities: 4 / Occupants: 4,Other fatalities,110,Aircraft damage,Destroyed, written off,Category,Accident,Location,Milano-Linate Airport (LIN) -  ,"	   Italy",Phase,Taxi,Nature,Executive,Departure airport,Milano-Linate Airport (LIN/LIML),Destination airport,Paris-Le Bourget Airport (LBG/LFPB),Investigating agency,ANSV,Confidence Rating,Accident investigation report completed and information captured,,,,
08/10/2001,Time,8:10,Type,McDonnell Douglas DC-9-87 (MD-87),Owner/operator,Scandinavian Airlines System - SAS,Registration,SE-DMA,MSN,53009/1916,Year of manufacture,1991,Total airframe hrs,25573 hours,Cycles,16562 flights,Engine model,P&W JT8D-217C,Fatalities,Fatalities: 110 / Occupants: 110,Other fatalities,8,Aircraft damage,Destroyed, written off,Category,Accident,Location,Milano-Linate Airport (LIN) -  ,"	   Italy",Phase,Take off,Nature,Passenger - Scheduled,Departure airport,Milano-Linate Airport (LIN/LIML),Destination airport,København-Kastrup Airport (CPH/EKCH),Investigating agency,ANSV,Confidence Rating,Accident investigation report completed and information captured,,,,
12/11/2001,Time,9:16,Type,Airbus A300B4-605R,Owner/operator,American Airlines,Registration,N14053,MSN,420,Year of manufacture,1987,Total airframe hrs,37550 hours,Cycles,14934 flights,Engine model,General Electric CF6-80C2A5,Fatalities,Fatalities: 260 / Occupants: 260,Other fatalities,5,Aircraft damage,Destroyed, written off,Category,Accident,Location,Belle Harbor, NY -  ,"	   United States of America",Phase,En route,Nature,Passenger - Scheduled,Departure airport,New York-John F. Kennedy International Airport, NY (JFK/KJFK),Destination airport,Santo Domingo-Las Américas José Francisco Peña Gómez Int'l Airport (SDQ/MDSD),Investigating agency,NTSB,Confidence Rating,Accident investigation report completed and information captured,,
28/01/2002,Time,10:24,Type,Boeing 727-134,Owner/operator,TAME Ecuador,Registration,HC-BLF,MSN,19692/498,Year of manufacture,1967,Total airframe hrs,64001 hours,Cycles,49819 flights,Engine model,P&W JT8D-9A,Fatalities,Fatalities: 94 / Occupants: 94,Other fatalities,0,Aircraft damage,Destroyed, written off,Category,Accident,Location,27 km NW of Ipiales -  ,"	   Colombia",Phase,Approach,Nature,Passenger - Scheduled,Departure airport,Quito-Mariscal Sucre Airport (UIO/SEQU),Destination airport,Tulcán Airport (TUA/SETU),Investigating agency,Aerocivil,Confidence Rating,Accident investigation report completed and information captured,,,,
12/02/2002,Time,7:30,Type,Tupolev Tu-154M,Owner/operator,Iran Airtour,Registration,EP-MBS,MSN,91A871,Year of manufacture,1991,Total airframe hrs,12701 hours,Cycles,5516 flights,Engine model,Soloviev D-30KU-154-II,Fatalities,Fatalities: 119 / Occupants: 119,Other fatalities,0,Aircraft damage,Destroyed, written off,Category,Accident,Location,near Sarab-e Do Rah -  ,"	   Iran",Phase,Approach,Nature,Passenger - Scheduled,Departure airport,Tehran-Mehrabad Airport (THR/OIII),Destination airport,Khorramabad Airport (KHD/OICK),Confidence Rating,Information is only available from news, social media or unofficial sources,,,,,
